"_id"	"Cas"	"CName"	"content"	"EName"	"id"	"img"	"molecularFormula"	"molecularWeight"	"page"
"62791a1e91710000fa0058e1"	"54827-17-7"	"3,3',5,5'-四甲基联苯胺"	"99.0%"	"2-fluoro-3-pyridinemethan amine dihydrochloride"	"1"	"1-1-1.png"	"C16H20N2"	"240.34"	"sh"
"627b69eb4c7e000014007bf4"	"64285-73-0"	"3,3',5,5'-四甲基联苯胺盐酸盐  "	"99.0%"	"3,3',5,5'-Tetramethylbenzidine dihydrochloride"	"2"	"1-1-2.png"	"C16H22Cl2N2"	"313.27"	"sh"
"627b6aad4c7e000014007bf5"	"102062-36-2"	"3,3'5,5'-四甲基联苯胺丙磺酸钠"	"99.0%"	" N-（3-sulfopropyl）-3,3'5,5'-tetramethylbenzidine, Sodium Salt"	"3"	"1-1-3.png"	"C19H25N2NaO3S"	"384.47

"	"sh"
"627b6b054c7e000014007bf6"		"3,3'5,5'-四甲基联苯胺硫酸盐"	"99.0%"	"3,3',5,5'-Tetramethylbenzidine sulfate"	"4"	"1-2-1.png"	"C16H20N2.H2SO4"	"338"	"sh"
"627b6b404c7e000014007bf7"	"6769-80-8"	"5-溴-6-氯-3-吲哚磷酸对甲苯胺盐"	"98.0%"	"5-Bromo-6-chloro-3-indolyl phosphate p-toluidine salt"	"5"	"1-2-2.png"	"C15H15BrClN2O4P"	"433.62"	"sh"
"627b6b634c7e000014007bf8"	"1871-22-3"	"氯化四唑蓝"	"98.0%"	"Tetrazolium Blue Chloride"	"6"	"1-2-3.png"	"C40H32Cl2N8O2"	"727.64"	"sh"
"627b6bc24c7e000014007bf9"	" 298-96-4"	"氯化三苯基四氮唑"	"98.0%"	"2,3,5-Triphenyltetrazolium chloride"	"7"	"1-3-1.png"	"C19H15ClN4"	"334.8"	"sh"
"627b6bff4c7e000014007bfa"	"298-93-1"	"噻唑蓝"	"98.0%"	"3-(4,5-Dimethyl-2-thiazolyl)-2,5-diphenyl-2H-tetrazolium bromide"	"8"	"1-3-2.png"	" C18H16BrN5S"	"414.32"	"sh"
"627b6c234c7e000014007bfb"	"3252-36-6"	"5-溴-4-氯-3-羟基吲哚乙酸酯"	"98.0%"	"5-Bromo-4-chloro-3-indolyl acetate"	"9"	"1-3-3.png"	"C10H7BrClNO2"	"288.53"	"sh"
"627b6c6f4c7e000014007bfc"	"146-68-9 "	" 碘硝基氯化四氮唑蓝"	"98.0%"	"2-(4-Iodophenyl)-3-(4-nitrophenyl)-5-phenyltetrazolium chloride"	"10"	"2-1-1.png"	"C19H13ClIN5O2"	"505.7"	"sh"
"627b6c9e4c7e000014007bfd"	"102185-33-1"	"5-溴-4-氯-3-吲哚基磷酸钠"	"99.0%"	"5-bromo-4-chloro-3-indoylo phosphatedisodium salt"	"11"	"2-1-2.png"	" C8H4BrClNNa2O4P"	"370.43"	"sh"
"627b6cdd4c7e000014007bfe"	" 4264-83-9"	"4-硝基苯磷酸二钠"	"99.0%"	"4-Nitrophenyl phosphate disodium salt"	"12"	"2-1-3.png"	"C6H4NO6 Na2P"	"263.05"	"sh"
"627b6d254c7e000014007bff"	"16010-98-3"	" L-亮氨酸-4-硝基苯胺盐酸盐"	"98.0%"	" L-Leucine p-nitroanilide hydrochloride"	"13"	"2-2-1.png"	"C12H17N3O3·HCl"	"287.74"	"sh"
"627b6d3f4c7e000014007c00"	"688357-19-9"	"4-氯-5-氮杂吲哚-2-甲酸甲酯"	"98.0%"	"METHYL 4-CHLORO-5-AZAINDOLE-2-CARBOXYLATE"	"14"	"2-2-2.png"	"C9H7ClN2O2"	"210.62"	"sh"
"627b6d7d4c7e000014007c01"	"1866-16-6"	"碘化硫代丁酰胆碱"	"98.0%"	"S-Butyrylthiocholine iodide"	"15"	"2-2-3.png"	"C9H20INOS"	"317.23"	"sh"
"627b6dd64c7e000014007c02"	"1866-15-5"	"碘代硫代乙酰胆碱"	"98.0%"	"Acetylthiocholine iodide"	"16"	"2-3-1.png"	" C7H16INOS"	"289.18"	"sh"
"627b6e6c4c7e000014007c03"	"102185-48-8"	"5-溴-6-氯-3-吲哚基乙酸酯"	"98.0%"	"5-Bromo-6-chloro-3-indoxyl acetate"	"17"	"2-3-2.png"	"C10H7BrClNO2"	"288.53"	"sh"
"627b6e924c7e000014007c04"	"3030-06-6"	"1-乙酰基-5-溴-4-氯吲哚-3-乙酸酯"	"98.0%"	" 1-Acetyl-5-bromo-4-chloro-1H-indol-3-yl acetate"	"18"	"2-3-3.png"	" C12H9BrClNO3"	"330.56"	"sh"
"627b9c879034000024003db2"	"2446-83-5"	" 偶氮二甲酸二异丙酯"	"99.0%"	"Diisopropyl azodicarboxylate"	"59"	"yy1-1-1.png"	"C8H14N2O4"	"202.21"	"yy"
"627b9d5c9034000024003db3"	"2449-05-0"	"偶氮二甲酸二苄酯"	"95.0%"	"Dibenzyl azodicarboxylate"	"60"	"yy1-1-2.png"	"C16H14N2O4"	"298.29"	"yy"
"627ba2289034000024003db4"	"10465-82-4"	"偶氮二甲酰二吗啉"	"98.0%"	"Azodicarboxylic dimorpholide"	"61"	"yy1-1-3.png"	"C10H16N4O4"	"256.26"	"yy"
"627ba2d19034000024003db5"	"10465-81-3"	"偶氮二甲酰二哌啶"	"98.0%"	"1,1'-(Azodicarbonyl)-dipiperidine"	"62"	"yy1-2-1.png"	"C12H20N4O2"	"252.31"	"yy"
